66.240.205.34 - - [12/Oct/2019:00:01:44 +0800] "145.ll|'|'|SGFjS2VkX0Q0OTkwNjI3|'|'|WIN-JNAPIER0859|'|'|JNapier|'|'|19-02-01|'|'||'|'|Win 7 null" 400 2158
223.90.128.124 - - [12/Oct/2019:00:05:25 +0800] "GET /web/index HTTP/1.1" 302 -
223.90.128.124 - - [12/Oct/2019:00:05:25 +0800] "GET /publicFrame/bootstrap-3.3.7-dist/css/bootstrap.css HTTP/1.1" 304 -
223.90.128.124 - - [12/Oct/2019:00:05:25 +0800] "GET /publicFrame/bootstrap-3.3.7-dist/css/bootstrapValidator.min.css HTTP/1.1" 304 -
223.90.128.124 - - [12/Oct/2019:00:05:25 +0800] "GET /publicFrame/bootstrap-3.3.7-dist/css/bootstrap-dialog.css HTTP/1.1" 304 -
223.90.128.124 - - [12/Oct/2019:00:05:25 +0800] "GET /publicFrame/bootstrap-3.3.7-dist/js/bootstrap.js HTTP/1.1" 304 -
223.90.128.124 - - [12/Oct/2019:00:05:25 +0800] "GET /style/login/login.css HTTP/1.1" 304 -
223.90.128.124 - - [12/Oct/2019:00:05:25 +0800] "GET /publicFrame/jquery/jquery-3.4.0.min.js HTTP/1.1" 304 -
223.90.128.124 - - [12/Oct/2019:00:05:25 +0800] "GET /publicJs/SendRequest.js HTTP/1.1" 304 -
223.90.128.124 - - [12/Oct/2019:00:05:25 +0800] "GET /publicFrame/bootstrap-3.3.7-dist/js/bootstrapValidator.min.js HTTP/1.1" 304 -
223.90.128.124 - - [12/Oct/2019:00:05:26 +0800] "GET /publicFrame/bootstrap-3.3.7-dist/js/bootstrap-dialog.js HTTP/1.1" 304 -
223.90.128.124 - - [12/Oct/2019:00:05:26 +0800] "GET /js/login/login.js HTTP/1.1" 304 -
223.90.128.124 - - [12/Oct/2019:00:05:26 +0800] "GET /publicImg/telBg.jpg HTTP/1.1" 304 -
223.90.128.124 - - [12/Oct/2019:00:05:26 +0800] "GET /base/login HTTP/1.1" 200 3964
223.90.128.124 - - [12/Oct/2019:00:05:31 +0800] "POST /login/login HTTP/1.1" 200 683
223.90.128.124 - - [12/Oct/2019:00:05:32 +0800] "GET /web/index HTTP/1.1" 200 35640
223.90.128.124 - - [12/Oct/2019:00:05:32 +0800] "GET /style/web/webStyle.css HTTP/1.1" 304 -
223.90.128.124 - - [12/Oct/2019:00:05:32 +0800] "GET /publicImg/logo.png HTTP/1.1" 304 -
223.90.128.124 - - [12/Oct/2019:00:05:32 +0800] "GET /publicImg/icon/method.png HTTP/1.1" 304 -
223.90.128.124 - - [12/Oct/2019:00:05:32 +0800] "GET /publicJs/publicyw.js HTTP/1.1" 304 -
223.90.128.124 - - [12/Oct/2019:00:05:32 +0800] "GET /js/web/webIndex.js HTTP/1.1" 304 -
223.90.128.124 - - [12/Oct/2019:00:05:32 +0800] "GET /publicFrame/bootstrap-3.3.7-dist/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
223.90.128.124 - - [12/Oct/2019:00:05:32 +0800] "GET /publicFrame/bootstrap-3.3.7-dist/css/bootstrap.css HTTP/1.1" 304 -
223.90.128.124 - - [12/Oct/2019:00:05:32 +0800] "GET /publicFrame/bootstrap-3.3.7-dist/css/bootstrap-dialog.css HTTP/1.1" 304 -
223.90.128.124 - - [12/Oct/2019:00:05:32 +0800] "GET /publicImg/icon/sf.png HTTP/1.1" 304 -
223.90.128.124 - - [12/Oct/2019:00:05:32 +0800] "GET /publicFrame/jquery/jquery-3.4.0.min.js HTTP/1.1" 304 -
223.90.128.124 - - [12/Oct/2019:00:05:32 +0800] "GET /publicJs/SendRequest.js HTTP/1.1" 304 -
223.90.128.124 - - [12/Oct/2019:00:05:32 +0800] "GET /publicFrame/bootstrap-3.3.7-dist/js/bootstrap-dialog.js HTTP/1.1" 304 -
223.90.128.124 - - [12/Oct/2019:00:05:32 +0800] "GET /publicFrame/bootstrap-3.3.7-dist/js/bootstrap.js HTTP/1.1" 304 -
223.90.128.124 - - [12/Oct/2019:00:05:32 +0800] "GET /publicImg/icon/js.png HTTP/1.1" 304 -
223.90.128.124 - - [12/Oct/2019:00:05:32 +0800] "GET /publicImg/icon/yg.png HTTP/1.1" 304 -
223.90.128.124 - - [12/Oct/2019:00:05:32 +0800] "GET /publicImg/system/2.jpg HTTP/1.1" 304 -
223.90.128.124 - - [12/Oct/2019:00:05:32 +0800] "GET /publicImg/system/1.jpg HTTP/1.1" 304 -
223.90.128.124 - - [12/Oct/2019:00:05:32 +0800] "GET /publicImg/system/3.jpg HTTP/1.1" 304 -
223.90.128.124 - - [12/Oct/2019:00:05:32 +0800] "GET /publicImg/icon/sm.png HTTP/1.1" 304 -
223.90.128.124 - - [12/Oct/2019:00:05:32 +0800] "GET /publicImg/system/4.jpg HTTP/1.1" 304 -
223.90.128.124 - - [12/Oct/2019:00:05:32 +0800] "GET /publicImg/system/5.jpg HTTP/1.1" 304 -
223.90.128.124 - - [12/Oct/2019:00:05:32 +0800] "GET /publicImg/system/6.jpg HTTP/1.1" 304 -
223.90.128.124 - - [12/Oct/2019:00:05:32 +0800] "GET /publicImg/system/7.jpg HTTP/1.1" 304 -
223.90.128.124 - - [12/Oct/2019:00:05:32 +0800] "GET /publicImg/system/8.jpg HTTP/1.1" 304 -
223.90.128.124 - - [12/Oct/2019:00:05:32 +0800] "GET /publicImg/ranklist/first.png HTTP/1.1" 304 -
223.90.128.124 - - [12/Oct/2019:00:05:32 +0800] "GET /publicImg/customImg.jpg HTTP/1.1" 304 -
223.90.128.124 - - [12/Oct/2019:00:05:32 +0800] "GET /publicImg/ranklist/third.png HTTP/1.1" 304 -
223.90.128.124 - - [12/Oct/2019:00:05:32 +0800] "GET /publicImg/ranklist/second.png HTTP/1.1" 304 -
223.90.128.124 - - [12/Oct/2019:00:05:32 +0800] "GET /publicImg/ranklist/ower.png HTTP/1.1" 304 -
